grid_position,category,category_display,image_id,commons_file_title,title,author,credit,source_page_url,image_url,original_image_url,license,license_url,changes
row1_col1,pottery_ceramics,Pottery / ceramics,commons_iraq_pottery_ceramics_pottery_in_the_national_museum_of_iraq_0023,"File:Painted pottery chalice or cup, of the so-called Ninevite V culture. From Nineveh, Iraq. Ninevite V period of Upper Mesopotamia, c. 2900-2600 BCE. Iraq Museum, Baghdad.jpg","Painted pottery chalice or cup, of the so-called Ninevite V culture. From Nineveh, Iraq. Ninevite V period of Upper Mesopotamia, c. 2900-2600 BCE. Iraq Museum, Baghdad",Osama Shukir Muhammed Amin FRCP(Glasg),Own work,"https://commons.wikimedia.org/wiki/File:Painted_pottery_chalice_or_cup,_of_the_so-called_Ninevite_V_culture._From_Nineveh,_Iraq._Ninevite_V_period_of_Upper_Mesopotamia,_c._2900-2600_BCE._Iraq_Museum,_Baghdad.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Painted_pottery_chalice_or_cup%2C_of_the_so-called_Ninevite_V_culture._From_Nineveh%2C_Iraq._Ninevite_V_period_of_Upper_Mesopotamia%2C_c._2900-2600_BCE._Iraq_Museum%2C_Baghdad.jpg/960px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/5/5f/Painted_pottery_chalice_or_cup%2C_of_the_so-called_Ninevite_V_culture._From_Nineveh%2C_Iraq._Ninevite_V_period_of_Upper_Mesopotamia%2C_c._2900-2600_BCE._Iraq_Museum%2C_Baghdad.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row1_col2,pottery_ceramics,Pottery / ceramics,commons_qatar_pottery_ceramics_ceramics_in_the_museum_of_islamic_art_doha_0037,"File:Iran, sei mattonelle con motivi floreali, isfahan xvii secolo 02.jpg","Iran, sei mattonelle con motivi floreali, isfahan xvii secolo 02",Francesco Bini,Own work,"https://commons.wikimedia.org/wiki/File:Iran,_sei_mattonelle_con_motivi_floreali,_isfahan_xvii_secolo_02.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Iran%2C_sei_mattonelle_con_motivi_floreali%2C_isfahan_xvii_secolo_02.jpg/960px-Iran%2C_sei_mattonelle_con_motivi_floreali%2C_isfahan_xvii_secolo_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/0/06/Iran%2C_sei_mattonelle_con_motivi_floreali%2C_isfahan_xvii_secolo_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row1_col3,pottery_ceramics,Pottery / ceramics,commons_iraq_pottery_ceramics_pottery_in_the_national_museum_of_iraq_0021,"File:Painted jar, geometric designs and animals, the so-called ""Scarlet Ware"". From Iraq, Tell Abu Qasim (Arabic تل ابو قاسم), Hamrin Basin, Diyala Valley. 2800-2600 BCE. Iraq Museum.jpg","Painted jar, geometric designs and animals, the so-called ""Scarlet Ware"". From Iraq, Tell Abu Qasim (Arabic تل ابو قاسم), Hamrin Basin, Diyala Valley. 2800-2600 BCE. Iraq Museum",Osama Shukir Muhammed Amin FRCP(Glasg),Own work,"https://commons.wikimedia.org/wiki/File:Painted_jar,_geometric_designs_and_animals,_the_so-called_""Scarlet_Ware""._From_Iraq,_Tell_Abu_Qasim_(Arabic_تل_ابو_قاسم),_Hamrin_Basin,_Diyala_Valley._2800-2600_BCE._Iraq_Museum.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Painted_jar%2C_geometric_designs_and_animals%2C_the_so-called_%22Scarlet_Ware%22._From_Iraq%2C_Tell_Abu_Qasim_%28Arabic_%D8%AA%D9%84_%D8%A7%D8%A8%D9%88_%D9%82%D8%A7%D8%B3%D9%85%29%2C_Hamrin_Basin%2C_Diyala_Valley._2800-2600_BCE._Iraq_Museum.jpg/960px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/a/af/Painted_jar%2C_geometric_designs_and_animals%2C_the_so-called_%22Scarlet_Ware%22._From_Iraq%2C_Tell_Abu_Qasim_%28Arabic_%D8%AA%D9%84_%D8%A7%D8%A8%D9%88_%D9%82%D8%A7%D8%B3%D9%85%29%2C_Hamrin_Basin%2C_Diyala_Valley._2800-2600_BCE._Iraq_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row1_col4,pottery_ceramics,Pottery / ceramics,commons_qatar_pottery_ceramics_ceramics_in_the_museum_of_islamic_art_doha_0018,File:Doha Museum of Islamic Arts Interior Exhibition 059.jpg,Doha Museum of Islamic Arts Interior Exhibition 059,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_059.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_059.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_059.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/7/79/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_059.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row1_col5,pottery_ceramics,Pottery / ceramics,commons_iraq_pottery_ceramics_pottery_in_the_national_museum_of_iraq_0002,"File:10. Painted pottery zoomorphic vessel. From Iraq. Iraq Museum, Baghdad.jpg","10. Painted pottery zoomorphic vessel. From Iraq. Iraq Museum, Baghdad",Osama Shukir Muhammed Amin FRCP(Glasg),Own work,"https://commons.wikimedia.org/wiki/File:10._Painted_pottery_zoomorphic_vessel._From_Iraq._Iraq_Museum,_Baghdad.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/10._Painted_pottery_zoomorphic_vessel._From_Iraq._Iraq_Museum%2C_Baghdad.jpg/960px-10._Painted_pottery_zoomorphic_vessel._From_Iraq._Iraq_Museum%2C_Baghdad.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/e/e7/10._Painted_pottery_zoomorphic_vessel._From_Iraq._Iraq_Museum%2C_Baghdad.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row1_col6,pottery_ceramics,Pottery / ceramics,commons_qatar_pottery_ceramics_ceramics_in_the_museum_of_islamic_art_doha_0013,File:Doha Museum of Islamic Arts Interior Exhibition 029.jpg,Doha Museum of Islamic Arts Interior Exhibition 029,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_029.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_029.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_029.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/3/34/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_029.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row2_col1,bahrain_museum_objects,Bahrain museum objects,commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0018,"File:Early burial mound , moved to Bahrain museum.JPG","Early burial mound , moved to Bahrain museum",Droodkin,Self-photographed,"https://commons.wikimedia.org/wiki/File:Early_burial_mound_,_moved_to_Bahrain_museum.JPG",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Early_burial_mound_%2C_moved_to_Bahrain_museum.JPG/960px-Early_burial_mound_%2C_moved_to_Bahrain_museum.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/2/25/Early_burial_mound_%2C_moved_to_Bahrain_museum.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row2_col2,bahrain_museum_objects,Bahrain museum objects,commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0038,File:Manama Bahrain National Museum Exterior Vorplatz 11.jpg,Manama Bahrain National Museum Exterior Vorplatz 11,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Manama_Bahrain_National_Museum_Exterior_Vorplatz_11.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Manama_Bahrain_National_Museum_Exterior_Vorplatz_11.jpg/960px-Manama_Bahrain_National_Museum_Exterior_Vorplatz_11.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/5/5a/Manama_Bahrain_National_Museum_Exterior_Vorplatz_11.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row2_col3,bahrain_museum_objects,Bahrain museum objects,commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0035,File:Manama Bahrain National Museum Exterior Vorplatz 08.jpg,Manama Bahrain National Museum Exterior Vorplatz 08,Zairon,Own work,https://commons.wikimedia.org/wiki/File:Manama_Bahrain_National_Museum_Exterior_Vorplatz_08.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Manama_Bahrain_National_Museum_Exterior_Vorplatz_08.jpg/960px-Manama_Bahrain_National_Museum_Exterior_Vorplatz_08.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/0/0b/Manama_Bahrain_National_Museum_Exterior_Vorplatz_08.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
row2_col4,bahrain_museum_objects,Bahrain museum objects,commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0019,File:Grave reconstruction from National Museum of Bahrain.jpg,Grave reconstruction from National Museum of Bahrain,Ciacho5,Own work,https://commons.wikimedia.org/wiki/File:Grave_reconstruction_from_National_Museum_of_Bahrain.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Grave_reconstruction_from_National_Museum_of_Bahrain.jpg/960px-Grave_reconstruction_from_National_Museum_of_Bahrain.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/6/6b/Grave_reconstruction_from_National_Museum_of_Bahrain.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Resized, center-cropped if needed, and arranged in a sample grid for paper visualization."
