image_id,source,country,category,title,page_url,image_url,license,notes,artist,credit,description,commons_file_title,commons_category_used,original_image_url,mime
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0001,Wikimedia Commons,Bahrain,bahrain_museum_objects,1932 Buick Bahrain Museum,https://commons.wikimedia.org/wiki/File:1932_Buick_Bahrain_Museum.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/1932_Buick_Bahrain_Museum.JPG/960px-1932_Buick_Bahrain_Museum.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Bahrain National Museum objects and museum images,Droodkin,Own work,Photograph taken by myself. Location is at the Bahrain National Museum. In lower resolution with an earlier upload date here.,File:1932 Buick Bahrain Museum.JPG,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/b/b2/1932_Buick_Bahrain_Museum.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0002,Wikimedia Commons,Bahrain,bahrain_museum_objects,1932 Buick in the Bahrain Museum,https://commons.wikimedia.org/wiki/File:1932_Buick_in_the_Bahrain_Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/1932_Buick_in_the_Bahrain_Museum.jpg/960px-1932_Buick_in_the_Bahrain_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Bahrain National Museum objects and museum images,Photographer: Mosbatho,Own work,"A 1932 Buick owned by Sheikh Isa Bin Salman Al-Khalifa, on display at the National Museum of Bahrain.",File:1932 Buick in the Bahrain Museum.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/d/d1/1932_Buick_in_the_Bahrain_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0003,Wikimedia Commons,Bahrain,bahrain_museum_objects,"Assyrian Clay Coffin, 6th century BC","https://commons.wikimedia.org/wiki/File:Assyrian_Clay_Coffin,_6th_century_BC_.JPG",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Assyrian_Clay_Coffin%2C_6th_century_BC_.JPG/960px-Assyrian_Clay_Coffin%2C_6th_century_BC_.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Bahrain National Museum objects and museum images,Droodkin (talk) (Uploads),Own work,"Photograph taken by myself. Location is at the Bahraini National Museum. DroodkinDroodkin (Droodkintalk) 09:03, 18 June 2012 (UTC)","File:Assyrian Clay Coffin, 6th century BC .JPG",Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/2/2e/Assyrian_Clay_Coffin%2C_6th_century_BC_.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0004,Wikimedia Commons,Bahrain,bahrain_museum_objects,Bahrain museum panorama,https://commons.wikimedia.org/wiki/File:Bahrain_museum_panorama.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Bahrain_museum_panorama.jpg/960px-Bahrain_museum_panorama.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,Bahrain National Museum objects and museum images,Droodkin,Own work,"Panorama of the Hall of Graves exhibit at the Bahrain National Museum in Manama, July 2013.",File:Bahrain museum panorama.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/c/cb/Bahrain_museum_panorama.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0005,Wikimedia Commons,Bahrain,bahrain_museum_objects,Bahrain National Museum Exterior,https://commons.wikimedia.org/wiki/File:Bahrain_National_Museum_Exterior.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/Bahrain_National_Museum_Exterior.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY 2.0,Bahrain National Museum objects and museum images,Anthony DeCosta,Flickr: Bahrain National Museum Exterior,Exterior of the Bahrain National Museum in Manama.,File:Bahrain National Museum Exterior.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/5/5d/Bahrain_National_Museum_Exterior.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0006,Wikimedia Commons,Bahrain,bahrain_museum_objects,Bahrain National Museum Plaque,https://commons.wikimedia.org/wiki/File:Bahrain_National_Museum_Plaque.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Bahrain_National_Museum_Plaque.jpeg/960px-Bahrain_National_Museum_Plaque.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,Bahrain National Museum objects and museum images,Rain Ramli,Bahrain,"A plaque commemorating the opening of the Bahrain National Museum in both Arabic and English. English caption: ""H.H. Shaikh Isa Bin Salman Al Khalifa The Amir of the State of Bahrain Presided at the official inauguration ceremony for the Bahrain National Museum 8th Jumaida Al uola 1409H - 15 December 1988""",File:Bahrain National Museum Plaque.jpeg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/3/3d/Bahrain_National_Museum_Plaque.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0007,Wikimedia Commons,Bahrain,bahrain_museum_objects,Bahrainnationalmuseum,https://commons.wikimedia.org/wiki/File:Bahrainnationalmuseum.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Bahrainnationalmuseum.JPG/960px-Bahrainnationalmuseum.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 2.5,Bahrain National Museum objects and museum images,No machine-readable author provided. Soman assumed (based on copyright claims).,No machine-readable source provided. Own work assumed (based on copyright claims).,Photo: Soman,File:Bahrainnationalmuseum.JPG,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/3/3d/Bahrainnationalmuseum.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0008,Wikimedia Commons,Bahrain,bahrain_museum_objects,Buste d'homme barbu-Nécropole d'al-Maqsha (Bahreïn),https://commons.wikimedia.org/wiki/File:Buste_d'homme_barbu-Nécropole_d'al-Maqsha_(Bahreïn).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Buste_d%27homme_barbu-N%C3%A9cropole_d%27al-Maqsha_%28Bahre%C3%AFn%29.jpg/960px-Buste_d%27homme_barbu-N%C3%A9cropole_d%27al-Maqsha_%28Bahre%C3%AFn%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Bahrain National Museum objects and museum images,Ji-Elle,Own work,"Buste d'homme barbu au centre d'une stèle : nécropole d'al-Maqsha (Bahreïn), II-IIIe s. Calcaire Dépôt du Musée national de Bahreïn (Manama) à l'Institut du monde arabe (Paris) Inv. A18155",File:Buste d'homme barbu-Nécropole d'al-Maqsha (Bahreïn).jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/4/44/Buste_d%27homme_barbu-N%C3%A9cropole_d%27al-Maqsha_%28Bahre%C3%AFn%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0009,Wikimedia Commons,Bahrain,bahrain_museum_objects,Clay coffin from Bahrain National Museum A123,https://commons.wikimedia.org/wiki/File:Clay_coffin_from_Bahrain_National_Museum_A123.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Clay_coffin_from_Bahrain_National_Museum_A123.jpg/960px-Clay_coffin_from_Bahrain_National_Museum_A123.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Bahrain National Museum objects and museum images,Ciacho5,Own work,Gliniana trumna kultury Dilmun w zbiorach Muzeum Narodowego Bahrainu.,File:Clay coffin from Bahrain National Museum A123.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/7/74/Clay_coffin_from_Bahrain_National_Museum_A123.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
commons_bahrain_bahrain_museum_objects_bahrain_national_museum_0010,Wikimedia Commons,Bahrain,bahrain_museum_objects,Clay coffin from National Museum of Bahrain A123,https://commons.wikimedia.org/wiki/File:Clay_coffin_from_National_Museum_of_Bahrain_A123.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Clay_coffin_from_National_Museum_of_Bahrain_A123.jpg/960px-Clay_coffin_from_National_Museum_of_Bahrain_A123.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Bahrain National Museum objects and museum images,Ciacho5,Own work,Skeleton in clay coffin. Grave of Dilmun culture. Bahrain National Museum.,File:Clay coffin from National Museum of Bahrain A123.jpg,Bahrain National Museum,https://upload.wikimedia.org/wikipedia/commons/c/c0/Clay_coffin_from_National_Museum_of_Bahrain_A123.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg
