prompt_id,prompt,expected_category,language,prompt_style,rank,similarity,auto_relevant,image_id,source,country,category,title,page_url,image_url,license,notes,artist,credit,description,commons_file_title,commons_category_used,original_image_url,mime,local_path,manual_relevant
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,1,0.274426519870758,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0022,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 048,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_048.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_048.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_048.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 048.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/5/52/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_048.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_91e59cee164c.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,2,0.2739933729171753,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0017,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 043,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_043.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_043.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_043.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 043.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/7/71/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_043.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_495ba62bec04.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,3,0.2711161077022552,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0027,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 053,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_053.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_053.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_053.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 053.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/c/ce/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_053.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_1ad061190f00.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,4,0.2670709192752838,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0016,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 042,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_042.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_042.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_042.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 042.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/9/93/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_042.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_d684118c12cb.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,5,0.263772189617157,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0011,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 001,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_001.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 001.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/4/43/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_3f267445cd3a.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,6,0.2602778077125549,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0004,Wikimedia Commons,Qatar,manuscript_calligraphy,"Al-majmu'at al Rashiddiyya, theological treatise 1311-12","https://commons.wikimedia.org/wiki/File:Al-majmu'at_al_Rashiddiyya,_theological_treatise_1311-12.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Al-majmu%27at_al_Rashiddiyya%2C_theological_treatise_1311-12.jpg/960px-Al-majmu%27at_al_Rashiddiyya%2C_theological_treatise_1311-12.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Sodabottle,Own work,"Photo of an exhibit at en:Museum of Islamic Art, Doha Al-majmu'at al Rashiddiyya, theological treatise 1311-12. Written by Rashid al-Din Fadlallah, Coped by Muhammad ibn mahmoud al-Baghdadi Iran, 711 AH (December 1311- January 1312 AD) Ink, pigment and gold on paper","File:Al-majmu'at al Rashiddiyya, theological treatise 1311-12.jpg","Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/b/b8/Al-majmu%27at_al_Rashiddiyya%2C_theological_treatise_1311-12.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_df40e7b8c434.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,7,0.2560571432113647,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0021,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 047,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_047.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_047.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_047.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 047.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/8/8d/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_047.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_a98ba7a45b0b.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,8,0.2504596710205078,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0030,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 066,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_066.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_066.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_066.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 066.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/6/60/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_066.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_2df529450692.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,9,0.246746227145195,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0028,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 058,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_058.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_058.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_058.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 058.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/4/42/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_058.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_14e3504130cb.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,10,0.2445486783981323,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0014,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 013,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_013.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_013.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_013.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 013.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/e/e7/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_013.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_666a9920caa7.jpg,1
