prompt_id,prompt,expected_category,language,prompt_style,manual_precision_at_1,manual_precision_at_5,manual_precision_at_10,manual_mrr
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,1.0,1.0,0.9,1.0
p02,a museum artifact with Arabic calligraphy,manuscript_calligraphy,en,contextual,1.0,1.0,1.0,1.0
p03,an Islamic ceramic bowl,pottery_ceramics,en,generic,1.0,0.8,0.8,1.0
p04,ancient pottery from a museum,pottery_ceramics,en,contextual,1.0,1.0,1.0,1.0
p05,a statue from an Arab museum,sculptures_statues,en,generic,1.0,1.0,1.0,1.0
p06,a sculpture displayed in a museum,sculptures_statues,en,contextual,1.0,0.8,0.9,1.0
p07,a museum object from Bahrain,bahrain_museum_objects,en,local,0.0,0.4,0.3,0.5
p08,a Dilmun artifact in a museum,bahrain_museum_objects,en,local,0.0,0.0,0.0,0.0
p09,the exterior of a national museum,architecture_sites,en,generic,1.0,1.0,1.0,1.0
p10,the interior of a museum gallery,museum_interior,en,generic,1.0,1.0,1.0,1.0
p11,مخطوطة عربية,manuscript_calligraphy,ar,arabic,0.0,0.0,0.1,0.16666666666666666
p12,فخار إسلامي,pottery_ceramics,ar,arabic,1.0,0.6,0.7,1.0
p13,تمثال في متحف,sculptures_statues,ar,arabic,0.0,0.0,0.0,0.0
p14,متحف البحرين الوطني,bahrain_museum_objects,ar,arabic,0.0,0.0,0.0,0.0
p15,داخل المتحف,museum_interior,ar,arabic,0.0,0.0,0.0,0.0
