prompt_id,prompt,expected_category,language,prompt_style,rank,similarity,auto_relevant,image_id,source,country,category,title,page_url,image_url,license,notes,artist,credit,description,commons_file_title,commons_category_used,original_image_url,mime,local_path,manual_relevant
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,1,0.3427494168281555,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0017,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 043,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_043.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_043.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_043.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 043.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/7/71/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_043.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_495ba62bec04.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,2,0.3379781544208526,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0021,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 047,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_047.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_047.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_047.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 047.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/8/8d/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_047.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_a98ba7a45b0b.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,3,0.3377192616462707,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0022,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 048,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_048.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_048.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_048.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 048.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/5/52/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_048.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_91e59cee164c.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,4,0.3321164548397064,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0016,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 042,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_042.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_042.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_042.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 042.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/9/93/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_042.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_d684118c12cb.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,5,0.3291217982769012,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0013,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 012,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_012.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_012.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_012.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 012.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/1/13/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_012.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_1d3bad68cd3b.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,6,0.3258157968521118,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0027,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 053,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_053.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_053.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_053.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 053.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/c/ce/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_053.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_1ad061190f00.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,7,0.3256345093250274,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0029,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 065,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_065.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_065.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_065.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 065.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/b/b6/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_065.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_c38e08f72132.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,8,0.3213986158370971,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0019,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 045,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_045.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_045.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_045.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 045.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/7/7a/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_045.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_d12584aea945.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,9,0.3212833106517792,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0018,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 044,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_044.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_044.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_044.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 044.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/9/99/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_044.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_220dd37f0d5f.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,10,0.3210440874099731,0,commons_qatar_pottery_ceramics_ceramics_in_the_museum_of_islamic_art_doha_0012,Wikimedia Commons,Qatar,pottery_ceramics,Doha Museum of Islamic Arts Interior Exhibition 026,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_026.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_026.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_026.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Ceramic objects from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 026.jpg,"Ceramics in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/c/cd/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_026.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/pottery_ceramics/commons_qatar_pottery_ceramics_ceramics_in_the_museum_of_islamic_art_doha_0012_8b3782dbed30.jpg,0
