source,country,license,num_images
Wikimedia Commons,Bahrain,CC BY 2.0,2
Wikimedia Commons,Bahrain,CC BY 2.5,1
Wikimedia Commons,Bahrain,CC BY 3.0,1
Wikimedia Commons,Bahrain,CC BY 4.0,1
Wikimedia Commons,Bahrain,CC BY-SA 2.5,1
Wikimedia Commons,Bahrain,CC BY-SA 3.0,12
Wikimedia Commons,Bahrain,CC BY-SA 4.0,22
Wikimedia Commons,Iraq,CC BY-SA 4.0,78
Wikimedia Commons,Iraq,Public domain,2
Wikimedia Commons,Oman,CC BY 2.0,4
Wikimedia Commons,Oman,CC BY-SA 4.0,37
Wikimedia Commons,Oman,Public domain,1
Wikimedia Commons,Qatar,CC BY 2.0,1
Wikimedia Commons,Qatar,CC BY 4.0,45
Wikimedia Commons,Qatar,CC BY-SA 2.0,2
Wikimedia Commons,Qatar,CC BY-SA 3.0,3
Wikimedia Commons,Qatar,CC BY-SA 4.0,27
Wikimedia Commons,Qatar,Public domain,2
