prompt_id,prompt,expected_category,language,prompt_style,rank,similarity,auto_relevant,image_id,source,country,category,title,page_url,image_url,license,notes,artist,credit,description,commons_file_title,commons_category_used,original_image_url,mime,local_path,manual_relevant
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,1,0.2744148969650268,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0017,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 043,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_043.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_043.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_043.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 043.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/7/71/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_043.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_495ba62bec04.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,2,0.2719186842441559,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0021,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 047,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_047.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_047.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_047.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 047.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/8/8d/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_047.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_a98ba7a45b0b.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,3,0.2718281149864197,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0027,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 053,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_053.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_053.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_053.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 053.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/c/ce/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_053.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_1ad061190f00.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,4,0.2695790231227875,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0022,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 048,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_048.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_048.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_048.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 048.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/5/52/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_048.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_91e59cee164c.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,5,0.2663667500019073,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0028,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 058,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_058.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_058.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_058.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 058.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/4/42/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_058.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_14e3504130cb.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,6,0.2636187076568603,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0016,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 042,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_042.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_042.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_042.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 042.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/9/93/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_042.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_d684118c12cb.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,7,0.2620209455490112,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0029,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 065,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_065.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_065.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_065.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 065.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/b/b6/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_065.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_c38e08f72132.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,8,0.2611259222030639,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0020,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 046,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_046.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_046.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_046.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 046.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/a/a0/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_046.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_31f869f21c26.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,9,0.2585513293743133,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0011,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 001,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_001.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 001.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/4/43/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_3f267445cd3a.jpg,1
p01,an Arabic manuscript,manuscript_calligraphy,en,generic,10,0.2579658031463623,1,commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_of_islamic_art_doha_0013,Wikimedia Commons,Qatar,manuscript_calligraphy,Doha Museum of Islamic Arts Interior Exhibition 012,https://commons.wikimedia.org/wiki/File:Doha_Museum_of_Islamic_Arts_Interior_Exhibition_012.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_012.jpg/960px-Doha_Museum_of_Islamic_Arts_Interior_Exhibition_012.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Manuscripts and illustrated works from Museum of Islamic Art Doha,Zairon,Own work,"Collection of the Museum of Islamic Arts, Doha, Qatar",File:Doha Museum of Islamic Arts Interior Exhibition 012.jpg,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",https://upload.wikimedia.org/wikipedia/commons/1/13/Doha_Museum_of_Islamic_Arts_Interior_Exhibition_012.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,data/images/wikimedia_commons/manuscript_calligraphy/commons_qatar_manuscript_calligraphy_manuscripts_and_illustrations_in_the_museum_1d3bad68cd3b.jpg,1
